"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"ready-batch-04","dr-overshirt-nightline-top","Nightline Overshirt Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Overshirt | Light Jacket | Shirt Jacket","Herren | Top Upload | Layer","Cleanes Layer, harter Kern.","Overshirt-Variante fuer dunkle Street- und Clubfits mit klarer Frontachse und technischer Dr.-Gray-Kante.","/shop.html#herren-kollektion"
"ready-batch-04","dr-tee-druckpunkt-upload","Druckpunkt Tee Upload","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-front-kein-mainstream.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-kein-mainstream.png","Classic Tee | Heavy Tee | Premium Tee","Herren | Uploadbereit | Frontprint","Kompromisslos auf Frontwirkung gebaut.","Uploadbereiter Tee fuer die naechste Herren-Welle mit klarer Lesbarkeit und ruhigem Backprint-Raum.","/shop.html#herren-kollektion"
"ready-batch-04","mrs-polo-signature-top","Signature Polo Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Women Polo | Premium Polo | Longsleeve Polo","Damen | Top Upload | Polo","Serioes, weiblich und praezise.","Polo-Linie mit klarem Mrs.-Fokus fuer Eventtage und Club-nahe Looks ohne billige Effekte.","/shop.html#damen-kollektion"
"ready-batch-04","mrs-longsleeve-louder-upload","Liebe Lauter Longsleeve Upload","Mrs. Dr. Gray","Damen","Uploadbereit","ready","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-liebe-lauter.png","Longsleeve | Heavy Longsleeve | Fitted Tee","Damen | Uploadbereit | Longsleeve","Frech im Claim, clean im Aufbau.","Langarm-Variante fuer kuehlere Naechte mit sichtbarer Mrs.-Dominanz und stimmiger Typo-Hierarchie.","/shop.html#damen-kollektion"
"ready-batch-04","couple-tee-vow-top","Vow Tee Top Upload","Couple","Couple","Top Upload","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Couple Tee | 2er Set | Premium Tee","Couple | Top Upload | Symmetry","Nähe und Szene in einer Achse.","Top-Upload-Couple-Tee mit sauberer Symmetrie und ruhiger Frontlogik fuer eure gemeinsame Linie.","/shop.html#couple-edition"
"ready-batch-04","couple-hoodie-rhythm-upload","Rhythm Hoodie Upload","Couple","Couple","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Couple Hoodie | Unisex Hoodie | Zip Hoodie","Couple | Uploadbereit | Hoodie","Emotional, klar und druckvoll.","Uploadbereiter Couple-Hoodie mit gleicher Logohoehe und klarer Trennung von Front und Rueckenprint.","/shop.html#couple-edition"
"ready-batch-04","unisex-polo-core-top","Core Polo Top Upload","Unisex","Unisex","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Unisex Polo | Premium Polo | Smart Tee","Unisex | Top Upload | Polo","Neutral vorn, flexibel hinten.","Top-Upload-Unisex-Polo fuer cleanere Everyday-Fits mit optionalem Backprint je nach Linie.","/shop.html#unisex-drop"
"ready-batch-04","unisex-longsleeve-clean-upload","Clean Longsleeve Upload","Unisex","Unisex","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Longsleeve | Heavy Longsleeve | Layer Tee","Unisex | Uploadbereit | Backprint","Vorne reduziert, hinten nach Wahl.","Langarm-Unisex fuer modulare Drops mit ruhiger Frontflaeche und klarer Backprint-Option.","/shop.html#unisex-drop"
"ready-batch-04","accessory-gymbag-core-top","Core Gymbag Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Gymbag | Drawstring Bag | Daily Bag","Accessoire | Top Upload | Bag","Leicht, robust, alltagstauglich.","Gymbag-Variante fuer schnellere Accessoire-Drops mit sauberem Frontlogo und hoher Nutzbarkeit.","/shop.html#accessoires"
"ready-batch-04","accessory-cushion-couple-upload","Couple Cushion Upload","Accessories","Accessoires","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Cushion | Pillow Cover | Gift Bundle","Accessoire | Uploadbereit | Home","Home-Merch mit Duo-DNA.","Kissen-Variante als softeres Community-Piece mit klarem Couple-Motiv und sauberer Druckflaeche.","/shop.html#accessoires"
