"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"submitted-batch-06","unisex-tee-switch-top","Switch Tee Top Upload","Unisex","Unisex","Top Upload","submitted","store-assets/variants/unisex-backprint-options.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/unisex-backprint-options.png","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Top Upload | Switch","Ein Frontbild, zwei Backprint-Charaktere.","Top-Upload-Tee fuer schnelle Unisex-Erweiterung mit klarer Front und waehlbarer Rueckenlinie.","/shop.html#unisex-drop"
"submitted-batch-06","unisex-hoodie-switch-top","Switch Hoodie Top Upload","Unisex","Unisex","Top Upload","submitted","store-assets/variants/unisex-backprint-options.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/unisex-backprint-options.png","Unisex Hoodie | Zip Hoodie | Sweatshirt","Unisex | Top Upload | Switch","Clean, modular, startklar.","Hoodie-Linie fuer schnelle Uploadrunde mit gleicher Frontlogik und sauberer Backprint-Wahl.","/shop.html#unisex-drop"
"submitted-batch-06","unisex-crew-core-top","Core Crewneck Top Upload","Unisex","Unisex","Top Upload","submitted","store-assets/variants/unisex-backprint-options.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/unisex-backprint-options.png","Crewneck | Heavy Sweat | Sweatshirt","Unisex | Top Upload | Crewneck","Ruhige Front, klare Auswahl hinten.","Crewneck fuer die schnelle Core-Welle mit neutralem Fit und deutlicher Backprint-Entscheidung.","/shop.html#unisex-drop"
"submitted-batch-06","accessory-tote-techno","Techno mit Herz Tote Bag","Accessories","Accessoires","Geplant","submitted","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-verheiratet.png","Tote Bag | Stoffbeutel | Gym Bag","Accessoire | Bag | Logo","Alltagstauglich, aber klar im Branding.","Tasche oder Beutel mit sauberem Frontlogo und reduziertem Claim. Perfekt fuer Clubnacht, Alltag und Social Content.","/shop.html#accessoires"
"submitted-batch-06","accessory-cap-gray","Dr. Gray Cap","Accessories","Accessoires","Geplant","submitted","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/dr-back-logo.png","Cap | Snapback | Beanie","Accessoire | Cap | Herren","Nur Logo, null Spielerei.","Funktioniert fuer Dad Cap, Snapback oder Beanie. Gerade fuer die Herren-Linie ein guter Einstieg ausserhalb klassischer Shirts.","/shop.html#accessoires"
"submitted-batch-06","accessory-cap-retro","Retro Duo Cap","Accessories","Accessoires","In Vorbereitung","submitted","store-assets/variants/accessory-dr-retro-cap.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/accessory-dr-retro-cap.png","Retro Cap | Dad Cap | Snapback","Accessoire | Cap | Retro","Oldschool Shape, neue Linie.","Cap mit Retro-Schnitt, klarer Frontstick und kleinem Rueckenzeichen. Funktioniert fuer Herren-, Damen- und Couple-Fits ohne Stilbruch.","/shop.html#accessoires"
"submitted-batch-06","accessory-mug-mrs","Mrs. Dr. Gray Mug","Accessories","Accessoires","Geplant","submitted","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-zu-wild.png","Tasse | Sticker | Handyhuelle","Accessoire | Gift | Mrs.","Kleineres Merch fuer Community und Geschenk-Setups.","Tasse, Sticker oder Handyhuelle mit Mrs.-Branding fuer eine weichere, alltagstaugliche Produktstrecke.","/shop.html#accessoires"
"submitted-batch-06","accessory-bag-club","Clubnight Bag","Accessories","Accessoires","Konzept","submitted","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-verheiratet.png","Weekender | Tasche | Stoffbeutel","Accessoire | Bag | Nightlife","Dunkler Stoff, klares Branding, null Kirmes.","Funktioniert fuer Stoffbeutel, Weekender oder kleinere Alltagstasche mit Duo- oder Einzelbranding.","/shop.html#accessoires"
"submitted-batch-06","accessory-beanie-dark","Darkline Beanie","Accessories","Accessoires","Geplant","submitted","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/dr-back-logo.png","Beanie | Fischermuetze | Winter Cap","Accessoire | Beanie | Winter","Nur Logo, nur Winter, null Ballast.","Funktioniert fuer maennlichere und unisexige Fits zugleich und ist eine starke Ergaenzung zu Hoodie- und Jacket-Drops.","/shop.html#accessoires"
"submitted-batch-06","accessory-phonecase-duo","Duo Phone Case","Accessories","Accessoires","Konzept","submitted","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-two-hearts.png","Handyhuelle | Sticker Pack | Mini Gift","Accessoire | Phone Case | Gift","Kleine Flaeche, klare Marke.","Handyhuelle mit kompakter Typo oder Einzel-Logo fuer alltagstauglichen Wiedererkennungseffekt.","/shop.html#accessoires"
"submitted-batch-06","accessory-poster-set","Poster & Print Set","Accessories","Accessoires","Konzept","submitted","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-two-hearts.png","Poster | Art Print | Canvas","Accessoire | Poster | Visual","Fuer Wände, Booths und kleine Studio-Ecken.","Poster, Art Print und kleinere Visual-Drops fuer Fans, die die Aesthetik nicht nur tragen, sondern auch haengen wollen.","/shop.html#accessoires"
