"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"submitted-batch-03","mrs-crop-nightpulse","Night Pulse Crop","Mrs. Dr. Gray","Damen","Geplant","submitted","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-zu-wild.png","Crop Shirt | Soft Crop | Fitted Tee","Damen | Crop | Nightlife","Feminin, frech und glasklar gesetzt.","Crop-Look mit dominantem Mrs.-Logo und kurzer Hook-Zeile fuer Clubfotos und Story-Reels.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-longsleeve-command","Command Longsleeve","Mrs. Dr. Gray","Damen","In Vorbereitung","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Longsleeve | Soft Hoodie | Layer Top","Damen | Longsleeve | Command","Selbstbewusst, klar und nicht verkleidet.","Langarm-Variante fuer die serioes-freche Damen-Linie mit fokussierter Frontachse und ruhiger Typo.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-tee-heartline","Heartline Signature Tee","Mrs. Dr. Gray","Damen","Geplant","submitted","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-liebe-lauter.png","Signature Tee | Fitted Tee | Crop Shirt","Damen | Signature | Heartline","Weiblich im Ton, stark im Auftritt.","Signature-Tee mit klarem Mrs.-Fokus fuer alltagstaugliche Fits und hochwertige Night-Content-Sets.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-dress-afterset","Afterset Dress","Mrs. Dr. Gray","Damen","Konzept","submitted","store-assets/variants/mrs-dress-front-liebe-lauter.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-dress-front-liebe-lauter.png","Shirt Dress | Bodycon Dress | Event Fit","Damen | Dress | Event","Sexy-serioes mit sauberer Linie.","Dress-Piece fuer spaetere Event-Drops mit reduzierter Frontgrafik und klarer, hochwertiger Silhouette.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-crop-signature-ready","Signature Crop Ready","Mrs. Dr. Gray","Damen","Uploadbereit","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Ladies Crop | Fitted Tee | Soft Crop","Damen | Shirtee Ready | Mrs.-Fokus","Mrs. im Fokus, sauber gesetzt.","Crop fuer schnellen Livegang mit dominantem Mrs.-Logo und klarer Hook ohne Ueberlagerung.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-tee-wild-ready","Wild Ready Tee","Mrs. Dr. Gray","Damen","Uploadbereit","submitted","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-zu-wild.png","Ladies Tee | Fitted Tee | Longsleeve","Damen | Shirtee Ready | Attitude","Frech, serioes, clubnah.","Fitted Shirt mit klarer Frontachse fuer die frechere Damen-Linie und schnellen Upload.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-hoodie-core-ready","Core Hoodie Ready","Mrs. Dr. Gray","Damen","Uploadbereit","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Shirtee Ready | Hoodie","Selbstbewusst und druckstark.","Mrs.-Hoodie fuer kuehlere Sets mit klarer Typo und konsistenter Logohierarchie.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-longsleeve-love-ready","Loveline Longsleeve Ready","Mrs. Dr. Gray","Damen","Uploadbereit","submitted","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-liebe-lauter.png","Ladies Longsleeve | Fitted Longsleeve | Soft Hoodie","Damen | Shirtee Ready | Longsleeve","Weiblich im Ton, klar im Clubfit.","Langarm-Piece fuer melodischere Mrs.-Drops mit sauberem Frontprint und hoher Lesbarkeit.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-crop-wild-top","Zu wild Crop Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-zu-wild.png","Ladies Crop | Fitted Tee | Soft Crop","Damen | Top Upload | Crop","Mrs. im Fokus, direkt im Feed.","Top-Upload-Crop mit klarer Frontflaeche und dominantem Mrs.-Logo fuer hohe Wiedererkennung.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-tee-signature-top","Signature Tee Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Ladies Tee | Fitted Tee | Ladies Longsleeve","Damen | Top Upload | Signature","Selbstbewusst, sauber, sofort startklar.","Ladies-Tee als sichere Upload-Variante mit klarer Typo und reduziertem visuellen Aufbau.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-hoodie-love-top","Liebe lauter Hoodie Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-liebe-lauter.png","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Top Upload | Hoodie","Weibliche Kante mit Clubnahe.","Hoodie fuer die weichere Mrs.-Achse, uploadoptimiert und klar in der Logo-Hierarchie.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-crop-heartline-top","Heartline Crop Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-liebe-lauter.png","Crop Top | Fitted Tee | Light Hoodie","Damen | Top Upload | Crop","Frech, feminin und ohne Kitsch.","Crop-Setup fuer schnelle Drop-Wellen mit klarer Mrs.-Praesenz und sauberer Typo-Hierarchie.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-tee-afterhour-top","Afterhour Tee Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-zu-wild.png","Ladies Tee | Fitted Tee | Ladies Longsleeve","Damen | Top Upload | Afterhour","Selbstbewusst bis spaet in die Nacht.","Fitted Tee fuer die frechere Mrs.-Achse, uploadoptimiert und klar in der Frontausrichtung.","/shop.html#damen-kollektion"
"submitted-batch-03","mrs-hoodie-command-top","Command Hoodie Top Upload","Mrs. Dr. Gray","Damen","Top Upload","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Top Upload | Command","Serioes im Build, stark in der Haltung.","Hoodie fuer schnellen Damen-Drop mit kontrollierter Typo und starkem Mrs.-Logo als Hauptfigur.","/shop.html#damen-kollektion"
