"id","bundleId","bundleType","title","line","section","status","priority","uploadState","imageKind","href","products","tags","issueCodes"
"dr-hoodie-mainstream","print-dr-hoodie-mainstream","print","Kein Mainstream. Hoodie","Dr. Gray","men","In Vorbereitung","P2","uploaded","local","https://www.shirtee.com/de/store/drgray-mrsdrgray/","Unisex Hoodie | Zip Hoodie | Oversize Shirt","Herren | Techno | Backprint",""
"dr-shirt-raw","apparel-dr-shirt-raw","apparel","Treibend. Roh. Ehrlich. Tee","Dr. Gray","men","In Vorbereitung","P1","submitted","local","shop.html#herren-kollektion","Shirt | Longsleeve | Sleeveless","Herren | Peak Time | Statement",""
"dr-oversize-bass","accessory-dr-oversize-bass","accessory","Bass im Blut. Oversize","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Oversize Shirt | Heavy Hoodie | Cap","Herren | Oversize | Dark Gold",""
"dr-shirt-pressure","apparel-dr-shirt-pressure","apparel","Druck statt Deko","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Classic Tee | Longsleeve | Beanie","Herren | Underground | Clean",""
"dr-polo-nightshift","apparel-dr-polo-nightshift","apparel","Nightshift Polo","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Polo | Longsleeve Polo | Light Jacket","Herren | Polo | Smart Dark",""
"dr-shirtline-blackbook","apparel-dr-shirtline-blackbook","apparel","Blackbook Hemd","Dr. Gray","men","Konzept","P3","submitted","local","shop.html#herren-kollektion","Hemd | Overshirt | Light Shirt Jacket","Herren | Hemd | Clean",""
"dr-longsleeve-pressure","apparel-dr-longsleeve-pressure","apparel","Pressure Longsleeve","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Longsleeve | Heavy Longsleeve | Layer Tee","Herren | Longsleeve | Dark",""
"dr-zip-blackout","apparel-dr-zip-blackout","apparel","Blackout Zip Hoodie","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Zip Hoodie | Heavy Zip | Street Jacket","Herren | Zip | Street",""
"dr-tank-raver","apparel-dr-tank-raver","apparel","Old Dogs Better Raver Tank","Dr. Gray","men","Konzept","P3","submitted","local","shop.html#herren-kollektion","Tank Top | Sleeveless | Festival Fit","Herren | Tank | Statement",""
"dr-crew-pressuregrid","apparel-dr-crew-pressuregrid","apparel","Pressure Grid Crewneck","Dr. Gray","men","In Vorbereitung","P1","submitted","local","shop.html#herren-kollektion","Crewneck | Heavy Sweat | Layer Tee","Herren | Crewneck | Control",""
"dr-hoodie-controlroom","print-dr-hoodie-controlroom","print","Control Room Hoodie","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Heavy Hoodie | Zip Hoodie | Oversize Hoodie","Herren | Control | Backprint",""
