"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"ready-batch-01","dr-tee-mainfloor-ready","Mainfloor Ready Tee","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-front-kein-mainstream.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-kein-mainstream.png","Unisex Tee | Premium Tee | Heavy Tee","Herren | Shirtee Ready | Frontprint","Direkt, dunkel und druckstark.","Klassisches Tee-Setup fuer schnelle Shirtee-Uploads mit klarer Frontlinie und optionalem Backprint.","/shop.html#herren-kollektion"
"ready-batch-01","dr-hoodie-pressure-ready","Pressure Ready Hoodie","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Shirtee Ready | Hoodie","Kontrolle vorne, Kante im Ruecken.","Hoodie-Linie mit sauberer Typo und klarer Logik fuer Dr.-Gray-Pieces, optimiert fuer schnellen Drop.","/shop.html#herren-kollektion"
"ready-batch-01","dr-longsleeve-raw-ready","Raw Signal Longsleeve","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-front-treibend-roh-ehrlich.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-treibend-roh-ehrlich.png","Longsleeve | Heavy Longsleeve | Layer Tee","Herren | Shirtee Ready | Longsleeve","Roh im Ton, sauber im Build.","Longsleeve fuer naechste Upload-Welle, mit klarer Lesbarkeit und ohne ueberladene Motive.","/shop.html#herren-kollektion"
"ready-batch-01","dr-polo-dark-ready","Darkline Polo Ready","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Polo | Premium Polo | Light Jacket","Herren | Shirtee Ready | Polo","Weniger Deko, mehr Haltung.","Polo-Variante fuer den smarten Dark-Fit mit kleinem Frontlogo und ruhiger Backoption.","/shop.html#herren-kollektion"
"ready-batch-01","dr-tee-keinmainstream-top","Kein Mainstream Tee Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-front-kein-mainstream.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-kein-mainstream.png","Unisex Tee | Premium Tee | Heavy Tee","Herren | Top Upload | Core","Sofort druckbar, sofort klar.","Top-Upload-Variante fuer die harte Herren-Linie mit sauberer Front und klarer Markenachse.","/shop.html#herren-kollektion"
"ready-batch-01","dr-hoodie-control-top","Control Hoodie Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Top Upload | Hoodie","Druckvoll und ohne Umwege.","Hoodie-Variante mit klarem Dr.-Auftritt fuer schnellen Produktstart im Store.","/shop.html#herren-kollektion"
"ready-batch-01","dr-longsleeve-pressure-top","Pressure Longsleeve Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-front-treibend-roh-ehrlich.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-treibend-roh-ehrlich.png","Longsleeve | Heavy Longsleeve | Layer Tee","Herren | Top Upload | Longsleeve","Klar lesbar, clean gebaut.","Langarm-Piece fuer schnelle Drop-Umsetzung mit ruhigem Frontprint und stabiler Lesbarkeit.","/shop.html#herren-kollektion"
"ready-batch-01","dr-tee-bassline-top","Bassline Tee Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-front-bass-im-blut.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-bass-im-blut.png","Unisex Tee | Heavy Tee | Premium Tee","Herren | Top Upload | Bassline","Druckvoll im Claim, sauber im Schnitt.","Schneller Tee-Upload fuer die harte Dr.-Gray-Linie mit klarer Front und optionalem Rueckenlogo.","/shop.html#herren-kollektion"
"ready-batch-01","dr-hoodie-nightshift-top","Nightshift Hoodie Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Top Upload | Nightshift","Technoid, direkt und ohne Ballast.","Hoodie fuer die naechste schnelle Uploadrunde mit klarer Typo-Hierarchie und dunklem Look.","/shop.html#herren-kollektion"
"ready-batch-01","dr-polo-axis-top","Axis Polo Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Polo | Premium Polo | Longsleeve Polo","Herren | Top Upload | Polo","Smarter Fit, klare Kontrolle.","Polo-Top-Upload fuer clubnahe Smart-Looks mit reduziertem Frontzeichen und sauberem Aufbau.","/shop.html#herren-kollektion"
"ready-batch-01","mrs-crop-signature-ready","Signature Crop Ready","Mrs. Dr. Gray","Damen","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Ladies Crop | Fitted Tee | Soft Crop","Damen | Shirtee Ready | Mrs.-Fokus","Mrs. im Fokus, sauber gesetzt.","Crop fuer schnellen Livegang mit dominantem Mrs.-Logo und klarer Hook ohne Ueberlagerung.","/shop.html#damen-kollektion"
