"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"ready-batch-02","couple-tee-vows-ready","Vows Tee Set Ready","Couple Edition","Couple","Uploadbereit","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","2x Unisex Tee | 2x Premium Tee | 2x Longsleeve","Couple | Shirtee Ready | Tee Set","Echt verbunden, klar inszeniert.","Couple-Tee-Set mit spiegelnder Frontlogik und identischer Logo-Hoehe fuer schnellen Shirtee-Upload.","/shop.html#couple-edition"
"ready-batch-02","couple-hoodie-equal-ready","Equal Hoodie Set Ready","Couple Edition","Couple","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Shirtee Ready | Hoodie Set","Zwei Logos, eine klare Achse.","Hoodie-Set fuer naechsten Couple-Drop mit sauberer Symmetrie und kontrollierter Druckflaeche.","/shop.html#couple-edition"
"ready-batch-02","couple-longsleeve-b2b-ready","B2B Longsleeve Set Ready","Couple Edition","Couple","Uploadbereit","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","2x Longsleeve | 2x Heavy Longsleeve | 2x Tee","Couple | Shirtee Ready | Longsleeve Set","Duo-Flow ohne Kitsch.","Langarm-Set mit ruhigen Fronts und abgestimmtem Rueckenclaim fuer starke Paarfotos.","/shop.html#couple-edition"
"ready-batch-02","couple-sweat-rhythm-ready","Rhythm Sweat Set Ready","Couple Edition","Couple","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","2x Sweatshirt | 2x Crewneck | 2x Hoodie","Couple | Shirtee Ready | Sweat Set","Gemeinsame Energie, klare Linie.","Sweatshirt-Pair mit cleaner Front und homogener Typo fuer alltagstaugliche Couple-Drops.","/shop.html#couple-edition"
"ready-batch-02","couple-tee-beat-top","Couple in Love Tee Set Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","2x Unisex Tee | 2x Premium Tee | 2x Longsleeve","Couple | Top Upload | Tee Set","Symmetrie zuerst, alles andere danach.","Top-Upload-Tee-Set mit sauber gesetzten Logos auf gleicher Hoehe und klaren Front-Hooks.","/shop.html#couple-edition"
"ready-batch-02","couple-hoodie-rhythm-top","Rhythm Hoodie Set Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Top Upload | Hoodie Set","Duo-Look mit klarer Mittelachse.","Hoodie-Paar fuer schnelle Launch-Welle mit kontrollierter Druckflaeche und ruhiger Typo.","/shop.html#couple-edition"
"ready-batch-02","couple-longsleeve-vibe-top","His Beat Her Vibe Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","2x Longsleeve | 2x Heavy Longsleeve | 2x Tee","Couple | Top Upload | Longsleeve Set","Emotional, aber nicht kitschig.","Langarm-Couple-Set als uploadstarke Einstiegsvariante fuer schnelle Kampagnen-Freigaben.","/shop.html#couple-edition"
"ready-batch-02","couple-tee-rainline-top","Rainline Tee Set Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","2x Unisex Tee | 2x Premium Tee | 2x Heavy Tee","Couple | Top Upload | Rainline","Naehe mit Underground-Kante.","Tee-Set fuer schnelle Couple-Welle mit klarer Symmetrie und emotionaler, aber praeziser Bildsprache.","/shop.html#couple-edition"
"ready-batch-02","couple-hoodie-echoline-top","Echoline Hoodie Set Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Top Upload | Echoline","Zwei Teile, ein klarer Takt.","Hoodie-Duo mit ruhiger Front und abgestimmtem Rueckenclaim fuer schnellen Kampagnenstart.","/shop.html#couple-edition"
"ready-batch-02","couple-sweat-daylight-top","Daylight Sweat Set Top Upload","Couple Edition","Couple","Top Upload","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","2x Sweatshirt | 2x Crewneck | 2x Hoodie","Couple | Top Upload | Daylight","Cleaner Duo-Look fuer Alltag und Szene.","Sweat-Set mit ruhiger Typo-Hierarchie und sauberer Logoposition fuer alltagstaugliche Couple-Drops.","/shop.html#couple-edition"
"ready-batch-02","unisex-tee-choice-ready","Choice Tee Ready","Unisex","Unisex","Uploadbereit","ready","store-assets/variants/unisex-backprint-options.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/unisex-backprint-options.png","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Shirtee Ready | Backprint Wahl","Front clean, Backprint wahlbar.","Core-Unisex-Tee fuer schnellen Upload mit konsistenter Front und klarer Dr./Mrs.-Backprint-Wahl.","/shop.html#unisex-drop"
