"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"pending-batch-05","accessory-poster-citygrid","City Grid Poster","Accessories","Accessoires","Konzept","pending","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Poster | Art Print | Canvas Print","Accessoire | Poster | Visual","Wandmotiv mit Underground-Kern.","Posterlinie fuer Studio, Booth und Home-Setup mit dunkler Farbwelt und klarer Dr.-/Mrs.-Ausrichtung.","/shop.html#accessoires"
"pending-batch-05","couple-longsleeve-vow","Beat Vow Longsleeve","Couple","Couple","Geplant","pending","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Longsleeve | Heavy Longsleeve | Couple Set","Couple | Geplant | Longsleeve","Naehe im Motiv, Kontrolle im Layout.","Langarm-Variante fuer kuehlere Naechte mit gemeinsamem Couple-Code und sauberer Symmetrie.","/shop.html#couple-edition"
"pending-batch-05","accessory-keyring-duallogo","Dual Logo Keyring","Accessories","Accessoires","Geplant","pending","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Keyring | Metal Keychain | Mini Bundle","Accessoire | Geplant | Keyring","Kleines Detail mit Wiedererkennung.","Keyring fuer schnelle Add-ons im Shop und als preisnahes Community-Merch.","/shop.html#accessoires"
"pending-batch-05","special-fan-card-limited","Founders Fan Card","Special Merch","Special","Special Drop","pending","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Fan Card | Collector Set | Limited Bundle","Special | Collector | Limited","Limitiert fuer die fruehe Community.","Collector-Karte fuer Sonderaktionen, Signings und kleine Drop-Bundles ausserhalb klassischer POD-Strecken.","/kontakt.html"
"pending-batch-05","special-lanyard-clubpass","Clubpass Lanyard","Special Merch","Special","Konzept","pending","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Lanyard | Passholder | Event Bundle","Special | Event | Limited","Sondermerch fuer Eventtage.","Lanyard-Linie fuer Meetups, Backstage-Formate und Community-Events mit klarer Markenfuehrung.","/kontakt.html"
"pending-batch-05","accessory-notebook-nightline","Nightline Notebook","Accessories","Accessoires","Geplant","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Notebook | Hardcover Journal | Bundle","Accessoire | Geplant | Notebook","Kompakt, dark und markant.","Notebook fuer Eventplanung, Studio-Notizen und Community-Bundles mit klarer Markenfuehrung.","/shop.html#accessoires"
"pending-batch-05","special-vip-pass-card","VIP Pass Card Set","Special Merch","Special","Special Drop","pending","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","VIP Card | Collector Set | Event Bundle","Special | Event | Limited","Limitierte Event-Identitaet.","Collector-Set fuer Meetups, Guestlists und Eventaktionen ausserhalb normaler POD-Routine.","/kontakt.html"
"pending-batch-05","special-metal-pin-duo","Duo Metal Pin Limited","Special Merch","Special","Konzept","pending","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Metal Pin | Collector Pack | Limited Drop","Special | Collector | Limited","Kleines Piece mit Sammlerwert.","Metall-Pin fuer limitierte Community-Bundles und Offline-Drops mit hoher Wiedererkennung.","/kontakt.html"
"pending-batch-05","special-lighter-afterhour","Afterhour Feuerzeug","Special Merch","Special","Special Drop","pending","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Feuerzeug | Event Bundle | Giveaway","Special | Offline | Limited","Klein, frech und stark fuer Event-Bundles.","Nicht als bestaetigter Shirtee-POD-Artikel geplant, sondern als Sondermerch fuer Events, Giveaways oder externe Produktion.","/kontakt.html"
"pending-batch-05","special-sunglasses-night","Nightdrive Sunglasses","Special Merch","Special","Konzept","pending","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Sonnenbrille | Hardcase | Limited Drop","Special | Festival | Limited","Logo dezent, Haltung maximal.","Auch das ist als Limited oder externe Produktion gedacht. Auf der Website zeigen wir es bewusst als Special Merch und nicht als bestaetigten Shirtee-Standardartikel.","/kontakt.html"
