"id","title","line","section","catalogStatus","uploadState","uploadLabel","hasImage","imageSrc","href"
"dr-shirt-raw","Treibend. Roh. Ehrlich. Tee","Dr. Gray","Herren","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"dr-oversize-bass","Bass im Blut. Oversize","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"dr-shirt-pressure","Druck statt Deko","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-polo-nightshift","Nightshift Polo","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-shirtline-blackbook","Blackbook Hemd","Dr. Gray","Herren","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-longsleeve-pressure","Pressure Longsleeve","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-zip-blackout","Blackout Zip Hoodie","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-tank-raver","Old Dogs Better Raver Tank","Dr. Gray","Herren","Konzept","pending","Noch offen","true","/store-assets/variants/dr-front-bass-im-blut.png","/shop.html#herren-kollektion"
"dr-crew-pressuregrid","Pressure Grid Crewneck","Dr. Gray","Herren","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-hoodie-controlroom","Control Room Hoodie","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-tee-peak-pressure","Peak Pressure Tee","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-utility-jacket","Utility Night Jacket","Dr. Gray","Herren","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-heavy-tee-industrial","Industrial Heavy Tee","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"dr-polo-control-axis","Control Axis Polo","Dr. Gray","Herren","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-longsleeve-underground","Underground Signal Longsleeve","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-zip-subpressure","Subpressure Zip","Dr. Gray","Herren","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-tee-mainfloor-ready","Mainfloor Ready Tee","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"dr-hoodie-pressure-ready","Pressure Ready Hoodie","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-longsleeve-raw-ready","Raw Signal Longsleeve","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-polo-dark-ready","Darkline Polo Ready","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-tee-keinmainstream-top","Kein Mainstream Tee Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"dr-hoodie-control-top","Control Hoodie Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-longsleeve-pressure-top","Pressure Longsleeve Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"dr-tee-bassline-top","Bassline Tee Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-front-bass-im-blut.png","/shop.html#herren-kollektion"
